kernel,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_clf__estimator__alpha,params,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,process,model
MultinomialNB(alpha=0.1)_0.1,0.15333752632141112,0.016903758634654105,0.020324087142944335,0.008751389761941869,MultinomialNB(alpha=0.1),0.1,"{'clf__estimator': MultinomialNB(alpha=0.1), 'clf__estimator__alpha': 0.1}",0.9866666666666666,0.9433962264150945,1.0,1.0,0.9879518072289156,0.9836029400621353,0.020893089947868447,1,0.9864864864864865,0.9594594594594594,1.0,1.0,0.9864864864864865,0.9864864864864865,0.014803312365004501,1,1.0,1.0,1.0,1.0,0.9761904761904762,0.9952380952380953,0.009523809523809535,2,norm_text,mnb
MultinomialNB(alpha=0.1)_0.01,0.13963823318481444,0.012182986139628843,0.041023969650268555,0.020527408440809112,MultinomialNB(alpha=0.1),0.01,"{'clf__estimator': MultinomialNB(alpha=0.1), 'clf__estimator__alpha': 0.01}",0.9866666666666666,0.9090909090909091,0.9876543209876543,1.0,0.9879518072289156,0.9742727407948291,0.03295559435352357,2,0.9864864864864865,0.9324324324324325,0.9864864864864865,1.0,0.9864864864864865,0.9783783783783784,0.023561615911030665,2,1.0,1.0,1.0,1.0,0.9761904761904762,0.9952380952380953,0.009523809523809535,2,norm_text,mnb
MultinomialNB(alpha=0.1)_0.001,0.23004846572875975,0.012807018641730847,0.03362855911254883,0.006445869172618365,MultinomialNB(alpha=0.1),0.001,"{'clf__estimator': MultinomialNB(alpha=0.1), 'clf__estimator__alpha': 0.001}",0.9736842105263158,0.8620689655172413,0.9876543209876543,0.9879518072289156,0.988235294117647,0.9599189196755548,0.04923618403787492,3,0.972972972972973,0.8918918918918919,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.9648648648648649,0.03685995053239422,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,norm_text,mnb
