kernel,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_clf__estimator__alpha,params,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,process,model
MultinomialNB(alpha=0.1)_0.1,0.30556211471557615,0.06003809730049314,0.0494114875793457,0.01910577420559875,MultinomialNB(alpha=0.1),0.1,"{'clf__estimator': MultinomialNB(alpha=0.1), 'clf__estimator__alpha': 0.1}",0.9866666666666666,0.9433962264150945,0.9876543209876543,1.0,0.9761904761904762,0.9787815380519783,0.019235168514691838,1,0.9864864864864865,0.9594594594594594,0.9864864864864865,1.0,0.972972972972973,0.981081081081081,0.013781133820521048,1,1.0,1.0,1.0,1.0,0.9761904761904762,0.9952380952380953,0.009523809523809535,2,text,mnb
MultinomialNB(alpha=0.1)_0.01,0.2539088726043701,0.04897813877435074,0.08685317039489746,0.03318024611227627,MultinomialNB(alpha=0.1),0.01,"{'clf__estimator': MultinomialNB(alpha=0.1), 'clf__estimator__alpha': 0.01}",0.9736842105263158,0.8928571428571428,0.9876543209876543,1.0,0.9761904761904762,0.9660772301123177,0.03778266862572559,2,0.972972972972973,0.918918918918919,0.9864864864864865,1.0,0.972972972972973,0.9702702702702704,0.027562267641042068,2,1.0,1.0,1.0,1.0,0.9761904761904762,0.9952380952380953,0.009523809523809535,2,text,mnb
MultinomialNB(alpha=0.1)_0.001,0.40421204566955565,0.09330078013494446,0.07031927108764649,0.02934023053014032,MultinomialNB(alpha=0.1),0.001,"{'clf__estimator': MultinomialNB(alpha=0.1), 'clf__estimator__alpha': 0.001}",0.9736842105263158,0.8771929824561403,0.9876543209876543,0.9879518072289156,0.988235294117647,0.9629437230633346,0.04323014937617099,3,0.972972972972973,0.9054054054054054,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.9675675675675676,0.0315186588910557,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,text,mnb
