kernel,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_clf__estimator__alpha,params,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,process,model
MultinomialNB(alpha=0.1)_0.1,0.3000932693481445,0.07981557278814352,0.04287314414978027,0.00818314328646845,MultinomialNB(alpha=0.1),0.1,"{'clf__estimator': MultinomialNB(alpha=0.1), 'clf__estimator__alpha': 0.1}",0.9866666666666666,0.9433962264150945,0.9876543209876543,1.0,0.9879518072289156,0.9811338042596661,0.019491911104820712,1,0.9864864864864865,0.9594594594594594,0.9864864864864865,1.0,0.9864864864864865,0.9837837837837838,0.013240485096125302,1,1.0,1.0,1.0,1.0,0.9761904761904762,0.9952380952380953,0.009523809523809535,2,norm_stops_text,mnb
MultinomialNB(alpha=0.1)_0.01,0.24147334098815917,0.08510388883511726,0.06788878440856934,0.015329110855016799,MultinomialNB(alpha=0.1),0.01,"{'clf__estimator': MultinomialNB(alpha=0.1), 'clf__estimator__alpha': 0.01}",0.9736842105263158,0.9090909090909091,0.9876543209876543,1.0,0.9761904761904762,0.9693239833590711,0.03153158040783887,2,0.972972972972973,0.9324324324324325,0.9864864864864865,1.0,0.972972972972973,0.972972972972973,0.0226124331495696,2,1.0,1.0,1.0,1.0,0.9761904761904762,0.9952380952380953,0.009523809523809535,2,norm_stops_text,mnb
MultinomialNB(alpha=0.1)_0.001,0.3306113719940186,0.11382959283637793,0.05821809768676758,0.013082395227051206,MultinomialNB(alpha=0.1),0.001,"{'clf__estimator': MultinomialNB(alpha=0.1), 'clf__estimator__alpha': 0.001}",0.9736842105263158,0.8474576271186441,0.9876543209876543,0.9879518072289156,0.988235294117647,0.9569966519958353,0.05504768777321129,3,0.972972972972973,0.8783783783783784,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.9621621621621621,0.04221756581571164,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,norm_stops_text,mnb
