kernel,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_clf__estimator__criterion,param_clf__estimator__max_depth,param_clf__estimator__max_features,param_clf__estimator__n_estimators,params,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,process,model
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_gini_4_auto_200",0.8426633358001709,0.17427265303864756,0.12975730895996093,0.032839563131306156,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",gini,4,auto,200,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 4, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9743589743589743,0.9487179487179488,1.0,0.9766153846153847,0.020751432703245896,34,1.0,0.972972972972973,0.972972972972973,0.9459459459459459,1.0,0.9783783783783784,0.020225175063642922,33,1.0,0.96,0.95,0.9024390243902439,1.0,0.9624878048780487,0.03628310914899857,36,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_entropy_4_auto_500",2.1462860107421875,0.48806508921655983,0.2118546962738037,0.07457850525147666,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",entropy,4,auto,500,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 4, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.961038961038961,0.9620253164556963,1.0,0.9766128554989315,0.019106263410956663,35,1.0,0.972972972972973,0.9594594594594594,0.9594594594594594,1.0,0.9783783783783784,0.018330621576014245,33,1.0,0.96,0.925,0.926829268292683,1.0,0.9623658536585366,0.033158139647244234,37,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_gini_4_sqrt_500",1.8101988792419434,0.3656151049643053,0.20140542984008789,0.049018340704447126,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",gini,4,sqrt,500,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 4, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 500}",1.0,0.9411764705882353,0.9743589743589743,0.9620253164556963,0.988235294117647,0.9731592111041106,0.020474447296082315,36,1.0,0.9594594594594594,0.972972972972973,0.9594594594594594,0.9864864864864865,0.9756756756756758,0.015759329445527853,36,1.0,0.96,0.95,0.926829268292683,1.0,0.9673658536585366,0.028736800244299726,27,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_gini_6_sqrt_200",1.008670711517334,0.10037233209038522,0.1280344009399414,0.038467231890565085,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",gini,6,sqrt,200,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 6, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 200}",1.0,0.9411764705882353,0.9743589743589743,0.9500000000000001,1.0,0.9731070889894419,0.024501128526137332,37,1.0,0.9594594594594594,0.972972972972973,0.9459459459459459,1.0,0.9756756756756758,0.021621621621621626,36,1.0,0.96,0.95,0.926829268292683,1.0,0.9673658536585366,0.028736800244299726,27,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_gini_4_auto_500",1.692490530014038,0.38484472021975963,0.1571873188018799,0.03800644325040971,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",gini,4,auto,500,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 4, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 500}",0.9863013698630138,0.96,0.9473684210526316,0.9620253164556963,1.0,0.9711390214742682,0.019157409809780163,38,0.9864864864864865,0.972972972972973,0.9459459459459459,0.9594594594594594,1.0,0.972972972972973,0.019110994086122914,38,0.972972972972973,0.96,0.9,0.926829268292683,1.0,0.9519604482531312,0.0350583043181024,39,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_gini_5_sqrt_200",0.8678076267242432,0.13692816572165253,0.11802821159362793,0.035385551798930714,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",gini,5,sqrt,200,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 5, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 200}",0.9863013698630138,0.923076923076923,0.9743589743589743,0.9620253164556963,1.0,0.9691525167509216,0.026254580183832355,39,0.9864864864864865,0.9459459459459459,0.972972972972973,0.9594594594594594,1.0,0.972972972972973,0.019110994086122914,38,0.972972972972973,0.96,0.95,0.926829268292683,1.0,0.9619604482531312,0.024287357546634303,38,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_gini_5_auto_200",1.015653133392334,0.17795290660509439,0.13824586868286132,0.022437763581857013,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",gini,5,auto,200,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 5, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 200}",0.9722222222222222,0.96,0.961038961038961,0.9620253164556963,0.988235294117647,0.9687043587669054,0.010704826846153098,40,0.972972972972973,0.972972972972973,0.9594594594594594,0.9594594594594594,0.9864864864864865,0.9702702702702704,0.01011258753182149,40,0.9459459459459459,0.96,0.925,0.926829268292683,1.0,0.9515550428477259,0.027445317891525104,41,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_gini_8_log2_200",1.2235802173614503,0.12782359598030393,0.16267590522766112,0.043899624047348366,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",gini,8,log2,200,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'log2', 'clf__estimator__n_estimators': 200}",0.9863013698630138,0.923076923076923,0.9333333333333333,0.975,1.0,0.9635423252546541,0.030094672073976217,41,0.9864864864864865,0.9459459459459459,0.9324324324324325,0.972972972972973,1.0,0.9675675675675676,0.02506383377161001,41,0.972972972972973,0.96,0.875,0.9512195121951219,1.0,0.9518384970336189,0.04180273756704905,40,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_entropy_8_log2_500",1.3956908702850341,0.21232464417855387,0.09345111846923829,0.025480442879278063,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",entropy,8,log2,500,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'log2', 'clf__estimator__n_estimators': 500}",0.9722222222222222,0.923076923076923,0.9473684210526316,0.975,1.0,0.9635335132703553,0.02621001538367177,42,0.972972972972973,0.9459459459459459,0.9459459459459459,0.972972972972973,1.0,0.9675675675675676,0.020225175063642933,41,0.9459459459459459,0.96,0.9,0.9512195121951219,1.0,0.9514330916282135,0.03196139485752448,42,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_entropy_7_log2_200",1.2029053211212157,0.13092395026153597,0.1927121639251709,0.03920429081144874,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",entropy,7,log2,200,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 7, 'clf__estimator__max_features': 'log2', 'clf__estimator__n_estimators': 200}",0.9863013698630138,0.923076923076923,0.9333333333333333,0.9620253164556963,1.0,0.9609473885457934,0.029549284115564733,43,0.9864864864864865,0.9459459459459459,0.9324324324324325,0.9594594594594594,1.0,0.9648648648648649,0.02506383377161001,43,0.972972972972973,0.96,0.875,0.926829268292683,1.0,0.9469604482531311,0.0429963857108012,43,text,rf
